Venue,Seating Capacity,Classes Scheduled,Average Space Utilization %
Acad Block A-1, 55, 4.0, 100.00
Acad Block A-10, 100, 2.0, 72.50
Acad Block A-11, 107, 2.0, 37.38
Acad Block A-12, 86, 3.0, 51.16
Acad Block A-14, 79, 3.0, 73.84
Acad Block A-15, 79, 3.0, 71.73
Acad Block A-16, 79, 3.0, 71.73
Acad Block A-2, 31, 4.0, 87.90
Acad Block A-3, 71, 3.0, 83.57
Acad Block A-4, 83, 3.0, 58.23
Acad Block A-5, 57, 4.0, 88.60
Acad Block A-6, 28, 4.0, 89.29
Acad Block A-7, 71, 4.0, 87.85
Acad Block A-8, 83, 3.0, 60.24
Acad Block A-9, 51, 3.0, 88.24
Acad Block MCB Acad Block A-13, 202, 3.0, 34.98
Acad Block SS, 195, 3.0, 38.46
LAB-1, 79, 3.0, 71.73
LAW-FACLOU, 32, 3.0, 70.83
Lib Bldg SOE 01, 62, 4.0, 77.62
Lib Bldg SOE 02, 62, 3.5, 86.87
Lib Bldg SOE 03, 62, 3.5, 85.71
SAHSOL ARDCR 0-07, 71, 3.0, 93.19
SAHSOL CR 1-01, 71, 3.0, 91.31
SAHSOL CR 1-06, 32, 3.0, 71.88
SAHSOL CR 1-07, 71, 3.0, 84.51
SAHSOL CR 2-01, 32, 3.0, 82.29
SAHSOL CR 2-02, 32, 4.0, 82.03
SAHSOL CR 2-06, 32, 3.0, 67.71
SAHSOL CR 2-07, 32, 3.0, 83.33
SAHSOL GHKCR 0-02, 32, 3.0, 78.12
SAHSOL MMACR 1-02, 32, 3.0, 67.71
SAHSOL SBACR 0-01, 71, 3.0, 89.44
SAHSOL SIACR 0-06, 32, 3.0, 80.21
SBASSE 10-201, 224, 3.0, 25.89
SBASSE 10-202, 50, 3.0, 100.00
SBASSE 10-204, 40, 4.0, 90.62
SBASSE 10-301, 224, 3.0, 29.02
SBASSE 10-302, 30, 4.0, 100.00
SBASSE 10-304, 50, 4.0, 97.50
SBASSE 9-B2, 264, 3.0, 89.65
SBASSE PRGST, 102, 2.0, 41.67
SDSB 101, 60, 4.0, 90.62
SDSB 105, 56, 4.0, 95.98
SDSB 201, 60, 4.0, 90.62
SDSB 203, 86, 3.0, 48.45
SDSB 204, 86, 3.0, 49.22
SDSB 205, 40, 3.0, 100.00
SDSB 305, 42, 3.0, 95.24
SDSB B-1, 150, 4.0, 79.17
SDSB B-2, 150, 4.0, 95.83
SDSB B-3, 286, 3.0, 34.97
SDSB TRDLB, 82, 4.0, 76.22
